sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
12	22	而且	而且	ADV	RB	27	mark	5	5
12	23	要	要	AUX	MD	27	aux	4	4
12	24	对	对	ADP	IN	26	case	2	2
12	25	农业	农业	NOUN	NN	26	compound	1	1
12	26	家	家	PART	SFN	27	obl	1	1
12	27	提供	提供	VERB	VV	0	root	-27	27
12	28	农业	农业	NOUN	NN	31	nmod	3	3
12	29	的	的	PART	DEC	28	case	-1	1
12	30	普通	普通	ADJ	JJ	31	amod	1	1
12	31	利润	利润	NOUN	NN	27	obj	-4	4
12	32	。	。	PUNCT	.	27	punct	-5	5
EOS
13	1	所以	所以	ADV	RB	27	mark	26	26
13	2	，	，	PUNCT	,	1	punct	-1	1
13	3	都市	都市	NOUN	NN	4	nmod	1	1
13	4	附近	附近	NOUN	NN	7	nmod	3	3
13	5	的	的	PART	DEC	4	case	-1	1
13	6	农业	农业	NOUN	NN	7	compound	1	1
13	7	家	家	PART	SFN	27	nsubj	20	20
13	8	和	和	CCONJ	CC	10	cc	2	2
13	9	耕作	耕作	VERB	VV	10	compound	1	1
13	10	者	者	PART	SFN	7	conj	-3	3
13	11	，	，	PUNCT	,	7	punct	-4	4
13	12	从	从	ADP	IN	14	case	2	2
13	13	谷物	谷物	NOUN	NN	14	nmod	1	1
13	14	售价	售价	NOUN	NN	16	nsubj	2	2
13	15	所	所	ADV	RB	16	mark	1	1
13	16	得	得	VERB	VV	27	advcl	11	11
13	17	的	的	PART	UH	16	discourse	-1	1
13	18	，	，	PUNCT	,	16	punct	-2	2
13	19	不仅	不仅	ADV	RB	24	advmod	5	5
13	20	是	是	AUX	VC	24	cop	4	4
13	21	农业	农业	NOUN	NN	24	nmod	3	3
13	22	的	的	PART	DEC	21	case	-1	1
13	23	普通	普通	ADJ	JJ	24	amod	1	1
13	24	利润	利润	NOUN	NN	27	advcl	3	3
13	25	，	，	PUNCT	,	24	punct	-1	1
13	26	而且	而且	ADV	RB	27	mark	1	1
13	27	包括	包括	VERB	VV	0	root	-27	27
13	28	自远	自远	ADJ	JJ	29	compound	1	1
13	29	地	地	PART	SFN	30	nsubj	1	1
13	30	运	运	VERB	VV	38	acl:relcl	8	8
13	31	来	来	ADV	RB	32	mark	1	1
13	32	出售	出售	VERB	VV	34	acl:relcl	2	2
13	33	的	的	PART	DEC	32	mark:rel	-1	1
13	34	谷物	谷物	NOUN	NN	30	obj	-4	4
13	35	的	的	PART	DEC	30	mark:rel	-5	5
13	36	运费	运费	NOUN	NN	38	nmod	2	2
13	37	全部	全部	DET	DT	38	det	1	1
13	38	价值	价值	NOUN	NN	27	obj	-11	11
13	39	。	。	PUNCT	.	27	punct	-12	12
EOS
14	1	此外	此外	NOUN	NN	14	obl	13	13
14	2	，	，	PUNCT	,	1	punct	-1	1
14	3	在	在	ADP	IN	9	case	6	6
14	4	他们	他	PRON	PRP	5	nsubj	1	1
14	5	购买	购买	VERB	VV	7	acl:relcl	2	2
14	6	的	的	PART	DEC	5	mark:rel	-1	1
14	7	东西	东西	NOUN	NN	9	nmod	2	2
14	8	的	的	PART	DEC	7	case	-1	1
14	9	买价	买价	NOUN	NN	14	obl	5	5
14	10	上	上	ADP	IN	9	case	-1	1
14	11	，	，	PUNCT	,	9	punct	-2	2
14	12	他们	他	PRON	PRP	14	nsubj	2	2
14	13	还	还	ADV	RB	14	mark	1	1
14	14	节省	节省	VERB	VV	0	root	-14	14
14	15	这些	这些	DET	DT	16	det	1	1
14	16	东西	东西	NOUN	NN	19	nmod	3	3
14	17	的	的	PART	DEC	16	case	-1	1
14	18	远途	远途	NOUN	NN	19	nmod	1	1
14	19	运费	运费	NOUN	NN	22	nmod	3	3
14	20	的	的	PART	DEC	19	case	-1	1
14	21	全部	全部	DET	DT	22	det	1	1
14	22	价值	价值	NOUN	NN	14	obj	-8	8
14	23	。	。	PUNCT	.	14	punct	-9	9
EOS
15	1	试一	试一	NUM	CD	4	nummod	3	3
15	2	比较	比较	ADV	RB	4	advmod	2	2
15	3	都市	都市	NOUN	NN	4	nmod	1	1
15	4	附近	附近	NOUN	NN	14	nmod	10	10
15	5	各	各	DET	DT	6	det	1	1
15	6	农村	农村	NOUN	NN	14	nmod	8	8
15	7	和	和	CCONJ	CC	8	cc	1	1
15	8	远离	远离	VERB	VV	6	conj	-2	2
15	9	都市	都市	NOUN	NN	11	nmod	2	2
15	10	各	各	DET	DT	11	det	1	1
15	11	农村	农村	NOUN	NN	8	obj	-3	3
15	12	的	的	PART	DEC	8	mark:rel	-4	4
15	13	耕作	耕作	NOUN	NN	14	nmod	1	1
15	14	事业	事业	NOUN	NN	18	obl	4	4
15	15	，	，	PUNCT	,	14	punct	-1	1
15	16	你	你	PRON	PRP	18	nsubj	2	2
15	17	就	就	ADV	RB	18	mark	1	1
15	18	知道	知道	VERB	VV	0	root	-18	18
15	19	都市	都市	NOUN	NN	20	nmod	1	1
15	20	商业	商业	NOUN	NN	21	nsubj	1	1
15	21	是	是	VERB	VC	18	ccomp	-3	3
15	22	怎样	怎样	ADV	RB	23	advmod	1	1
15	23	有利	有利	ADJ	JJ	21	xcomp	-2	2
15	24	于	于	VERB	VV	23	mark	-1	1
15	25	农村	农村	NOUN	NN	23	obj	-2	2
15	26	。	。	PUNCT	.	18	punct	-8	8
EOS
16	1	就	就	ADV	RB	13	mark	12	12
16	2	连	连	ADV	RB	6	advmod	4	4
16	3	所有	所有	DET	DT	6	det	3	3
16	4	宣传	宣传	NOUN	NN	6	nmod	2	2
16	5	贸易	贸易	NOUN	NN	6	nmod	1	1
16	6	差额	差额	NOUN	NN	10	nmod	4	4
16	7	的	的	PART	DEC	6	case	-1	1
16	8	各种	各种	DET	DT	10	det	2	2
16	9	谬	谬	VERB	VV	10	compound	1	1
16	10	说	说	PART	SFN	13	nsubj	3	3
16	11	，	，	PUNCT	,	10	punct	-1	1
16	12	也	也	ADV	RB	13	mark	1	1
16	13	没有	有	VERB	VV	0	root	-13	13
16	14	一	一	NUM	CD	15	nummod	1	1
16	15	种	种	NOUN	NNB	16	obl	1	1
16	16	敢妄	敢妄	VERB	VV	13	xcomp	-3	3
16	17	说	说	VERB	VV	16	xcomp	-1	1
16	18	城乡	城乡	NOUN	NN	19	nmod	1	1
16	19	通商	通商	NOUN	NN	25	nsubj	6	6
