sentence_ID	dependent_ID	dependent	dependent_lemma	dependent_UPOS	dependent_XPOS	head_ID	dependency_type
13	2	都市	都市	NOUN	NN	3	nmod
13	3	附近	附近	NOUN	NN	6	nmod
13	4	的	的	PART	DEC	3	case
13	5	农业	农业	NOUN	NN	6	compound
13	6	家	家	PART	SFN	23	nsubj
13	7	和	和	CCONJ	CC	9	cc
13	8	耕作	耕作	VERB	VV	9	compound
13	9	者	者	PART	SFN	6	conj
13	10	从	从	ADP	IN	12	case
13	11	谷物	谷物	NOUN	NN	12	nmod
13	12	售价	售价	NOUN	NN	14	nsubj
13	13	所	所	ADV	RB	14	mark
13	14	得	得	VERB	VV	23	advcl
13	15	的	的	PART	UH	14	discourse
13	16	不仅	不仅	ADV	RB	21	advmod
13	17	是	是	AUX	VC	21	cop
13	18	农业	农业	NOUN	NN	21	nmod
13	19	的	的	PART	DEC	18	case
13	20	普通	普通	ADJ	JJ	21	amod
13	21	利润	利润	NOUN	NN	23	advcl
13	22	而且	而且	ADV	RB	23	mark
13	23	包括	包括	VERB	VV	0	root
13	24	自远	自远	ADJ	JJ	25	compound
13	25	地	地	PART	SFN	26	nsubj
13	26	运	运	VERB	VV	34	acl:relcl
13	27	来	来	ADV	RB	28	mark
13	28	出售	出售	VERB	VV	30	acl:relcl
13	29	的	的	PART	DEC	28	mark:rel
13	30	谷物	谷物	NOUN	NN	26	obj
13	31	的	的	PART	DEC	26	mark:rel
13	32	运费	运费	NOUN	NN	34	nmod
13	33	全部	全部	DET	DT	34	det
13	34	价值	价值	NOUN	NN	23	obj
EOS
14	1	此外	此外	NOUN	NN	12	obl
14	2	在	在	ADP	IN	8	case
14	3	他们	他	PRON	PRP	4	nsubj
14	4	购买	购买	VERB	VV	6	acl:relcl
14	5	的	的	PART	DEC	4	mark:rel
14	6	东西	东西	NOUN	NN	8	nmod
14	7	的	的	PART	DEC	6	case
14	8	买价	买价	NOUN	NN	12	obl
14	9	上	上	ADP	IN	8	case
14	10	他们	他	PRON	PRP	12	nsubj
14	11	还	还	ADV	RB	12	mark
14	12	节省	节省	VERB	VV	0	root
14	13	这些	这些	DET	DT	14	det
14	14	东西	东西	NOUN	NN	17	nmod
14	15	的	的	PART	DEC	14	case
14	16	远途	远途	NOUN	NN	17	nmod
14	17	运费	运费	NOUN	NN	20	nmod
14	18	的	的	PART	DEC	17	case
14	19	全部	全部	DET	DT	20	det
14	20	价值	价值	NOUN	NN	12	obj
EOS
15	1	试一	试一	NUM	CD	4	nummod
15	2	比较	比较	ADV	RB	4	advmod
15	3	都市	都市	NOUN	NN	4	nmod
15	4	附近	附近	NOUN	NN	14	nmod
15	5	各	各	DET	DT	6	det
15	6	农村	农村	NOUN	NN	14	nmod
15	7	和	和	CCONJ	CC	8	cc
15	8	远离	远离	VERB	VV	6	conj
15	9	都市	都市	NOUN	NN	11	nmod
15	10	各	各	DET	DT	11	det
15	11	农村	农村	NOUN	NN	8	obj
